apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
com.JaddZayed.Breakfast,True,United States,dp_clause,False,False,True,False,False
com.sunsetgames.schooldaze,True,United States,dp_clause,False,False,True,False,False
com.lucky.goldenegg,True,United States,dp_clause,False,True,True,False,False
com.maybeyou,True,Russia,dp_clause,False,True,True,False,False
com.tabtale.nailfiasco,True,United States,dp_clause,False,False,True,True,False
com.tabtale.myfirstcrush,True,United States,dp_clause,False,False,True,True,False
com.ashleymadison.mobile,True,United States,dp_clause,False,True,True,False,False
com.connectllc.ship,True,United States,dp_clause,False,True,True,False,False
com.evermatch,True,United States,dp_clause,False,True,True,False,False
com.evermatch,True,Russia,dp_clause,False,True,True,False,False
com.bang.bangwithfriends,True,United States,dp_clause,False,True,True,False,False
com.iw.android.roulette,True,United States,dp_clause,False,True,True,False,False
com.fingersoft.makemore,True,United States,dp_clause,False,True,True,False,False
com.neonplay.casualrollersplat2,True,United States,dp_clause,False,True,True,False,False
com.cocoplay.cocopuppy,True,United States,dp_clause,False,False,True,True,False
com.izyplay.defusethebomb,True,United States,dp_clause,False,False,True,False,False
com.izyplay.defusethebomb,True,Russia,dp_clause,False,False,True,False,False
com.tabtale.babycareanddressup,True,United States,dp_clause,False,False,True,True,False
com.kwalee.dropstuff,True,United States,dp_clause,False,False,True,True,False
com.no.draw.color.by.number,True,United States,dp_clause,False,True,True,True,True
com.alex.da,True,United States,dp_clause,False,True,True,False,False
com.cakejamdrop.casual.puzzle,True,United States,dp_clause,False,True,True,False,False
com.drawapp.magicdoodle,True,United States,dp_clause,False,True,True,True,True
com.crowdstar.covetfashion,True,United States,dp_clause,False,True,True,True,True
com.iw.android.pinballgo,True,United States,dp_clause,False,True,True,False,False
com.kwalee.overtake,True,United States,dp_clause,False,False,True,True,False
com.fullfat.crashlanding,True,United States,dp_clause,False,True,True,False,False
com.mpmf.shootingballs3d,True,United States,dp_clause,False,True,True,False,False
studio.durdanto.fliptumbling,True,United States,dp_clause,False,False,True,True,False
com.lucky.dicemaster,True,United States,dp_clause,False,True,True,False,False
lucky.knife.hit.go.win.real.cash.day,True,United States,dp_clause,False,False,True,False,False
com.pjmasks.moonlightheroes,True,United States,dp_clause,False,True,True,True,True
com.tabtale.babytwins,True,United States,dp_clause,False,False,True,True,False
com.huuuge.checkers,True,United States,dp_clause,False,True,True,True,True
com.dg.turbonuke.bingo.quest.summer.garden,True,United States,binding_corporate_rules,False,True,True,False,False
com.dg.turbonuke.bingo.quest.summer.garden,True,United States,dp_clause,False,True,True,False,False
com.Alienforcegames.ChessFusionFree,True,United States,dp_clause,False,True,True,True,True
com.superbox.aos.bingo,True,United States,dp_clause,False,True,True,True,True
com.LoopGames.Yatzy,True,United States,dp_clause,False,True,True,False,False
onnect.connect.pair.matching.line.puzzle.match3d.tilemaster,True,United States,dp_clause,False,True,True,False,False
paintist.pixel.art.color.paint.by.number.coloring.paint.drawing.book,True,United States,dp_clause,False,True,True,True,True
com.LoopGames.Domino,True,United States,dp_clause,False,True,True,False,False
com.huuuge.domino,True,United States,dp_clause,False,True,True,True,True
com.stereo7games.fantasydefense,True,United States,dp_clause,False,True,True,False,False
com.hotheadgames.google.free.bops,True,United States,dp_clause,False,True,True,False,False
com.ib.SD,True,United States,dp_clause,False,True,True,True,True
com.myfico,True,United States,dp_clause,False,True,True,False,False
com.sparklingsocietysims.jurassicdinosaurarkofcarnivores,True,United States,dp_clause,False,False,True,False,False
com.ftxgames.narcos,True,United States,dp_clause,False,True,True,False,False
com.yahoo.mobile.client.android.finance,True,United States,dp_clause,True,False,True,True,False
